district_name,measures,volume,usage_area,apartments,living_area,estimated_costs
Mitte,2,12,3.5,57,21.7,5014
Friedrichshain-Kreuzberg,–,–,–,–,–,–
Pankow,14,9,0.6,14,16.9,4212
Charlottenburg-Wilmersdorf,1,16,4.3,78,34.5,9040
Spandau,22,159,38.3,497,334.6,62025
Steglitz-Zehlendorf,2,4,2.3,6,7.3,2136
Tempelhof-Schöneberg,13,13,5.8,13,24.2,4951
Neukölln,3,1,2,3,2.3,381
Treptow-Köpenick,13,9,2.7,16,17.6,5416
Marzahn-Hellersdorf,8,25,2,87,59.1,14288
Lichtenberg,5,43,0.5,149,111.6,21978
Reinickendorf,5,4,1.8,6,8.6,2498
