district_name,measures,usage_area,apartments,living_area,estimated_costs
Mitte,6,4.7,7,2.5,6156
Friedrichshain-Kreuzberg,2,0.2,6,3.6,1618
Pankow,10,"– 1,4",6,2.6,3814
Charlottenburg-Wilmersdorf,4,4.3,–,1.1,1288
Spandau,5,"– 6,1",8,8.3,1161
Steglitz-Zehlendorf,5,"– 2,1",5,5.6,1510
Tempelhof-Schöneberg,7,"– 1,6",3,5.4,2030
Neukölln,–,–,–,–,–
Treptow-Köpenick,10,"– 7,7",23,20.1,5220
Marzahn-Hellersdorf,2,2.1,–,0.3,142
Lichtenberg,3,–,1,0.6,292
Reinickendorf,3,0.6,–,1.5,761
