district_id,buildings,usage_area,apartments,apartments_usage_area,estimated_costs
01,9,-9.7,13.0,20.6,4964.0
02,10,-4.0,-12.0,14.6,11036.0
03,6,-1.7,6.0,7.6,1797.0
04,16,7.7,20.0,26.8,10588.0
05,12,-3.7,3.0,7.4,2204.0
06,10,6.2,6.0,7.7,11412.0
07,10,10.2,3.0,3.9,2892.0
08,7,3.3,57.0,44.5,11473.0
09,9,3.4,0.0,1.0,5977.0
10,14,0.6,3.0,7.1,2434.0
11,5,4.2,28.0,10.9,3685.0
12,22,4.4,16.0,20.6,11380.0
