id,measures,volume,usage_area,apartments,living_area,estimated_costs
01,–,–,–,–,–,–
02,–,–,–,–,–,–
03,16,10,2.1,16,22.4,5741
04,1,5,2,1,7.1,2395
05,3,2,2.9,3,3.9,982
06,8,7,4.9,8,13.4,4000
07,4,3,0.2,5,6.1,1233
08,–,–,–,–,–,–
09,24,16,3.4,26,32.9,7080
10,17,13,5.9,20,27.2,7118
11,3,2,0.5,4,3.8,1011
12,7,7,4.8,9,11.3,3015
