district_name,measures,volume,usage_area,apartments,living_area,estimated_costs
Mitte,2,13,11.1,22,25.3,7969
Friedrichshain-Kreuzberg,–,–,–,–,–,–
Pankow,13,41,26.6,76,72,21160
Charlottenburg-Wilmersdorf,7,31,7.5,89,69.1,19334
Spandau,11,54,5.1,161,107.1,28265
Steglitz-Zehlendorf,4,7,4.5,9,11.9,3778
Tempelhof-Schöneberg,4,13,3.6,35,25.6,8428
Neukölln,4,34,–,164,60.9,15811
Treptow-Köpenick,52,179,45.6,532,377.4,90247
Marzahn-Hellersdorf,11,9,1.8,13,20.4,5323
Lichtenberg,34,248,14.3,627,435.3,106415
Reinickendorf,8,18,4.8,49,39.4,10367
