district_name,measures,usage_area,apartments,living_area,estimated_costs
Mitte,11,13.5,43,44.3,17764
Friedrichshain-Kreuzberg,–,–,–,–,–
Pankow,26,126.3,84,89.9,72962
Charlottenburg-Wilmersdorf,20,67.5,81,68.9,37078
Spandau,18,14.5,162,110,33352
Steglitz-Zehlendorf,22,48.8,33,25.7,27249
Tempelhof-Schöneberg,17,519.8,55,45.6,140636
Neukölln,11,14.1,211,91,33032
Treptow-Köpenick,65,239.9,534,381.3,151058
Marzahn-Hellersdorf,15,39,13,20.7,12605
Lichtenberg,38,11.5,735,448.7,110064
Reinickendorf,16,19.4,48,39.9,22336
