district_name,measures,usage_area,apartments,living_area,estimated_costs
Mitte,5,0.6,14,6.4,3126
Friedrichshain-Kreuzberg,6,356.2,132,48.2,132338
Pankow,12,48.8,2,"– 7,3",8802
Charlottenburg-Wilmersdorf,9,15.1,16,17.8,19929
Spandau,12,14.9,182,126.2,23929
Steglitz-Zehlendorf,28,48.4,66,67.2,22817
Tempelhof-Schöneberg,9,60.6,11,9,9829
Neukölln,8,46.8,44,35.5,14404
Treptow-Köpenick,33,32.8,172,132.1,43932
Marzahn-Hellersdorf,21,40.8,316,298.2,53034
Lichtenberg,6,5.0,19,13.8,5271
Reinickendorf,19,18.4,18,22.9,12723
