district_name,measures,volume,usage_area,apartments,living_area,estimated_costs
Mitte,–,–,–,–,–,–
Friedrichshain-Kreuzberg,1,26,10.5,125,40.9,14351
Pankow,5,8,2.6,19,17.2,6782
Charlottenburg-Wilmersdorf,1,3,2.9,5,3.8,1844
Spandau,7,64,14.6,179,125.6,22642
Steglitz-Zehlendorf,10,33,11.1,61,60.9,17473
Tempelhof-Schöneberg,4,4,2.2,9,7.1,2088
Neukölln,1,2,1.5,4,4.2,981
Treptow-Köpenick,22,56,11.6,168,127.5,36527
Marzahn-Hellersdorf,15,94,18.8,314,294.7,45979
Lichtenberg,2,4,1.3,11,7.7,2095
Reinickendorf,10,11,6.8,14,17.3,4568
