district_name,measures,usage_area,apartments,living_area,estimated_costs
Mitte,7,41.9,34,25.8,17556
Friedrichshain-Kreuzberg,7,20.9,17,13,28870
Pankow,20,5.5,139,77,17136
Charlottenburg-Wilmersdorf,35,41.8,416,325.8,109410
Spandau,4,2.9,1,1.2,1608
Steglitz-Zehlendorf,14,6.1,16,22.8,10167
Tempelhof-Schöneberg,10,2,– 4,6.2,16227
Neukölln,–,–,–,–,–
Treptow-Köpenick,24,133.7,124,75.4,58007
Marzahn-Hellersdorf,40,347.3,165,119.9,86567
Lichtenberg,10,234.8,11,18,52886
Reinickendorf,17,9.7,32,43,15634
