district_id,buildings,usage_area,apartments,apartments_usage_area,estimated_costs
01,9,6,17,14.8,14074
02,5,0.6,28,20.1,6902
03,5,8.5,13,10.7,4355
04,11,0.1,5,7.7,4444
05,10,5,3,6.7,5001
06,14,2.4,10,15.5,4920
07,7,-0.1,2,4,3363
08,4,0,3,6.5,1870
09,13,4.7,15,16.3,4934
10,2,14.2,1,0.8,4031
11,4,-3.3,-1,4.9,1422
12,3,118.2,0,0.1,2765
