district_name,measures,usage_area,apartments,living_area,estimated_costs
Mitte,11,148.2,26,21.1,62301
Friedrichshain-Kreuzberg,7,14.8,44,23.6,6950
Pankow,24,27.7,60,54.9,20467
Charlottenburg-Wilmersdorf,14,71.6,19,28.8,28027
Spandau,36,116.0,335,237.3,87304
Steglitz-Zehlendorf,15,4.5,7,12.6,7375
Tempelhof-Schöneberg,17,16.6,79,53.8,27616
Neukölln,8,-2.6,10,13.5,3135
Treptow-Köpenick,39,636.8,181,162.0,72599
Marzahn-Hellersdorf,31,64.7,48,48.8,25868
Lichtenberg,9,190.1,578,178.5,86289
Reinickendorf,16,30.9,124,97.0,26286
