district_name,measures,volume,usage_area,apartments,living_area,estimated_costs
Mitte,1,8,–,20,14.6,3628
Friedrichshain-Kreuzberg,2,16,14.7,38,18.1,5160
Pankow,13,23,16.5,65,40.2,8932
Charlottenburg-Wilmersdorf,1,1,2.1,1,3.0,1551
Spandau,29,135,69.1,335,235.4,72566
Steglitz-Zehlendorf,6,5,3.9,6,8.5,2418
Tempelhof-Schöneberg,8,15,9.6,34,24.7,6066
Neukölln,4,4,2.1,4,8.0,1411
Treptow-Köpenick,25,62,31.7,135,125.2,26658
Marzahn-Hellersdorf,24,24,7.5,48,48.7,10837
Lichtenberg,5,108,25,577,177.5,56287
Reinickendorf,12,41,30.3,120,91.8,25111
