id,measures,volume,usage_area,apartments,living_area,estimated_costs
01,–,–,–,–,–,–
02,–,–,–,–,–,–
03,11,8,3.5,13,16.1,4405
04,1,2,2.2,1,3.5,1200
05,2,2,0.5,2,3.7,1084
06,1,2,1.2,1,3,810
07,5,3,1.4,5,4.7,1377
08,–,–,–,–,–,–
09,5,4,2,6,7.9,1842
10,10,7,1.5,11,13.2,3363
11,1,1,0.1,1,1.1,265
,5,4,3.6,5,8.2,2101
