district_name,measures,volume,usage_area,apartments,living_area,estimated_costs
Mitte,–,–,–,–,–,–
Friedrichshain-Kreuzberg,–,–,–,–,–,–
Pankow,57,28,2.7,58,58.2,11086
Charlottenburg-Wilmersdorf,–,–,–,–,–,–
Spandau,4,3,3.2,4,6.1,822
Steglitz-Zehlendorf,3,6,4.3,5,8.5,3437
Tempelhof-Schöneberg,–,–,–,–,–,–
Neukölln,–,–,–,–,–,–
Treptow-Köpenick,9,4,0.3,10,8.4,2276
Marzahn-Hellersdorf,13,10,3.4,14,17.9,4679
Lichtenberg,–,–,–,–,–,–
Reinickendorf,5,4,0.8,5,7.8,2491
