district_name,measures,volume,usage_area,apartments,living_area,estimated_costs
Mitte,9,73,11.5,221,130.5,33180
Friedrichshain-Kreuzberg,1,9,6.3,17,11.7,6822
Pankow,67,78,12.1,441,170.4,29465
Charlottenburg-Wilmersdorf,2,12,4.4,24,22.8,5396
Spandau,4,3,3.2,4,6.1,822
Steglitz-Zehlendorf,3,6,4.3,5,8.5,3437
Tempelhof-Schöneberg,–,–,–,–,–,–
Neukölln,–,–,–,–,–,–
Treptow-Köpenick,16,35,11.8,93,60.1,25069
Marzahn-Hellersdorf,13,10,3.4,14,17.9,4679
Lichtenberg,–,–,–,–,–,–
Reinickendorf,10,21,8.3,51,38.5,9452
