district_name,measures,usage_area,apartments,living_area,estimated_costs
Mitte,3,-15.5,7,5.2,30495
Friedrichshain-Kreuzberg,4,44.0,9,6.1,35719
Pankow,45,282.2,490,327.8,105036
Charlottenburg-Wilmersdorf,12,47.1,32,46.4,29417
Spandau,16,43.1,97,76.9,28712
Steglitz-Zehlendorf,23,13.2,45,42.7,17644
Tempelhof-Schöneberg,11,21.3,9,8.9,8109
Neukölln,15,315.7,36,35.3,69587
Treptow-Köpenick,45,53.1,241,175.7,49746
Marzahn-Hellersdorf,33,19.9,30,41.9,14733
Lichtenberg,21,40.8,255,104.0,28365
Reinickendorf,28,14.4,46,62.4,16693
