district_name,measures,volume,usage_area,apartments,living_area,estimated_costs
Mitte,–,–,–,–,–,–
Friedrichshain-Kreuzberg,1,3,1.1,10,7.1,1904
Pankow,31,173,101.6,489,322.8,58290
Charlottenburg-Wilmersdorf,2,4,2.3,8,7,3009
Spandau,5,37,22.5,78,60.9,18574
Steglitz-Zehlendorf,8,18,11.5,37,27.9,10407
Tempelhof-Schöneberg,3,3,2.8,3,3.6,1348
Neukölln,10,11,5.4,13,21.3,5275
Treptow-Köpenick,32,85,13.9,230,168,32470
Marzahn-Hellersdorf,22,17,6.6,25,33.9,7830
Lichtenberg,18,54,13.3,254,103.1,17794
Reinickendorf,14,35,12.7,41,55.8,14595
