id,measures,volume,usage_area,apartments,living_area,estimated_costs
01,–,–,–,–,–,–
02,–,–,–,–,–,–
03,10,7,1.5,10,14.3,3007
04,3,7,4.5,3,11.3,2788
05,2,2,1.9,2,3,786
06,1,2,1.6,1,3.9,1222
07,1,1,0.1,1,1.8,405
08,8,8,7,9,12.2,3342
09,8,5,2.9,8,10.7,2707
10,7,4,1.3,8,9.8,2501
11,1,1,–,1,2.1,503
,1,1,–,1,1.7,526
