id,measures,volume,usage_area,apartments,living_area
01,1,54,102.1,–,–
02,–,–,–,–,–
03,–,–,–,–,–
04,2,22,46.7,–,–
05,–,–,–,–,–
06,2,31,42.1,–,–
07,–,–,–,–,–
08,1,11,19,–,–
09,4,32,77,–,–
10,3,34,49,–,–
11,1,14,23.8,2,2.6
12,–,–,–,–,–
