id,measures,volume,usage_area,apartments,living_area,estimated_costs
01,1,4,2.1,12,7.0,2871
02,4,46,18.5,157,78.3,28416
03,20,31,27.1,107,66.8,12687
04,2,21,–,22,42.8,16350
05,5,19,4.2,50,37.0,9949
06,4,15,8.1,45,28.3,9193
07,31,57,8.1,155,112.7,25823
08,12,64,12.7,184,116.4,29623
09,39,141,54.4,459,277.5,65869
10,42,71,26.6,160,149.9,46180
11,40,217,87,621,416.4,97729
12,8,41,34.8,121,63.7,26051
