id,measures,volume,usage_area,apartments,living_area
01,3,145,174,36,9.3
02,2,4,9.9,–,–
03,9,86,84,–,–
04,–,–,–,–,–
05,1,3,7.5,–,–
06,3,29,47.5,6,12
07,2,203,455.3,18,17.6
08,–,–,–,–,–
09,2,8,20.9,–,–
10,1,1,1.1,–,–
11,3,144,177.4,1,1.3
,2,30,63.1,–,–
