district_name,measures,volume,usage_area,apartments,living_area
Mitte,3,46,66.4,–,–
Friedrichshain-Kreuzberg,1,8,25,–,–
Pankow,–,–,–,–,–
Charlottenburg-Wilmersdorf,1,132,169.6,–,–
Spandau,3,32,55,1,1.1
Steglitz-Zehlendorf,2,27,30.7,1,0.8
Tempelhof-Schöneberg,1,9,21,–,–
Neukölln,3,99,200.3,–,–
Treptow-Köpenick,2,7,13.4,–,–
Marzahn-Hellersdorf,3,33,36.3,–,–
Lichtenberg,–,–,–,–,–
Reinickendorf,–,–,–,–,–
