district_name,measures,usage_area,apartments,living_area,estimated_costs
Mitte,16,64.3,91,42.2,48109
Friedrichshain-Kreuzberg,4,24.1,1,2.5,7128
Pankow,21,19.9,41,37.6,6432
Charlottenburg-Wilmersdorf,13,205,– 10,41.6,129072
Spandau,25,58,146,123.3,43980
Steglitz-Zehlendorf,39,52.8,89,121.4,52289
Tempelhof-Schöneberg,18,22.5,16,17.7,20913
Neukölln,17,204.1,174,98.5,85814
Treptow-Köpenick,34,27.6,129,78.8,38586
Marzahn-Hellersdorf,15,27.8,175,103.4,57435
Lichtenberg,6,"– 2,9",7,7.5,796
Reinickendorf,18,3.6,10,16.9,5990
