district_name,measures,volume,usage_area,apartments,living_area,estimated_costs
Mitte,3,18,4.1,52,33.5,16796
Friedrichshain-Kreuzberg,–,–,–,–,–,–
Pankow,15,18,9.8,36,34.9,5335
Charlottenburg-Wilmersdorf,5,30,7.9,94,61.6,20481
Spandau,14,51,3.9,120,107.8,24988
Steglitz-Zehlendorf,11,50,21.1,72,90.1,38955
Tempelhof-Schöneberg,6,5,3.2,9,8.9,2109
Neukölln,5,44,5.1,168,92.5,22038
Treptow-Köpenick,19,48,15.5,127,73.1,30467
Marzahn-Hellersdorf,8,40,33.5,175,102.8,29582
Lichtenberg,3,2,0.1,3,4.3,418
Reinickendorf,5,5,2.7,6,8.8,2270
