district_name,measures,usage_area,apartments,living_area,estimated_costs
Mitte,10,"– 6,2",39,8.6,11306
Friedrichshain–Kreuzberg,3,"– 1,0",1,2.5,815
Pankow,6,10.1,5,2.7,1097
Charlottenburg–Wilmersdorf,7,27.5,– 104,"– 20,1",3481
Spandau,8,"– 0,9",25,14.3,8588
Steglitz–Zehlendorf,26,1,16,30.4,9914
Tempelhof–Schöneberg,11,"– 1,7",7,8.8,4306
Neukölln,9,"– 1,3",6,6,6601
Treptow–Köpenick,13,"– 1,4",2,5.7,4600
Marzahn–Hellersdorf,4,"– 42,1",–,0.7,19381
Lichtenberg,3,"– 3,0",4,3.2,378
Reinickendorf,13,1,4,8.1,3720
