district_id,buildings,volume,usage_area,apartments,apartments_usage_area,estimated_costs
01,0,0.0,0.0,0.0,0.0,0.0
02,1,8.0,2.8,23.0,15.5,4387.0
03,39,107.0,20.1,264.0,226.7,53989.0
04,3,15.0,3.9,17.0,24.4,7659.0
05,4,5.0,6.2,7.0,8.4,1928.0
06,9,12.0,7.5,17.0,24.4,8300.0
07,7,30.0,12.3,59.0,54.3,12190.0
08,1,2.0,0.0,4.0,2.4,595.0
09,37,134.0,13.1,544.0,272.9,56939.0
10,17,13.0,5.9,20.0,27.2,7118.0
11,3,2.0,0.5,4.0,3.8,1011.0
12,11,21.0,8.4,29.0,34.8,9147.0
