district_name,measures,usage_area,apartments,living_area,estimated_costs
Mitte,17,114.9,98,71.8,44457
Friedrichshain-Kreuzberg,7,1.5,62,43.7,20039
Pankow,11,13.2,50,47.2,14296
Charlottenburg-Wilmersdorf,16,56,28,28,30829
Spandau,20,11.8,17,26.2,9128
Steglitz-Zehlendorf,24,69.9,58,64.6,50737
Tempelhof-Schöneberg,9,6.8,23,19.9,8579
Neukölln,8,21.2,9,11,8924
Treptow-Köpenick,53,182.3,620,399.6,106833
Marzahn-Hellersdorf,16,65.2,13,16.3,26500
Lichtenberg,7,27.2,100,62.5,18885
Reinickendorf,10,122.4,7,11.5,6069
