district_name,measures,volume,usage_area,apartments,living_area,estimated_costs
Mitte,1,5,–,29,14.3,5300
Friedrichshain-Kreuzberg,–,–,–,–,–,–
Pankow,9,16,5.2,37,27.1,7429
Charlottenburg-Wilmersdorf,3,28,2.4,62,48.7,21834
Spandau,9,80,1.3,208,155,30134
Steglitz-Zehlendorf,5,12,6.7,11,19,6485
Tempelhof-Schöneberg,2,34,7.3,69,64.6,17881
Neukölln,–,–,–,–,–,–
Treptow-Köpenick,12,8,5.4,13,14.8,3944
Marzahn-Hellersdorf,8,13,4.6,55,31.7,6894
Lichtenberg,2,2,0.2,2,3.5,828
Reinickendorf,7,11,4.5,19,22.5,5248
