district_name,measures,usage_area,apartments,living_area,estimated_costs
Mitte,8,297.5,61,39.2,401862
Friedrichshain-Kreuzberg,4,"– 8,9",11,11.8,5411
Pankow,11,5.2,39,26.0,7539
Charlottenburg-Wilmersdorf,5,4.7,63,48.7,25276
Spandau,21,316,336,203.0,100227
Steglitz-Zehlendorf,12,47,13,22.6,60088
Tempelhof-Schöneberg,7,8.9,76,69.7,19514
Neukölln,1,6.6,1,2.7,1380
Treptow-Köpenick,26,76.6,16,17.3,18691
Marzahn-Hellersdorf,11,0.8,57,34.0,9064
Lichtenberg,4,5.8,3,5.0,968
Reinickendorf,22,24.8,28,27.7,15000
