district_name,measures,usage_area,apartments,living_area,estimated_costs
Mitte,8,13.5,21,18.6,60251
Friedrichshain-Kreuzberg,9,2.6,13,11.8,8014
Pankow,53,39.1,280,153.4,37943
Charlottenburg-Wilmersdorf,20,66.2,102,69.7,53623
Spandau,6,5.7,7,7.5,2751
Steglitz-Zehlendorf,17,99.5,142,81.1,44141
Tempelhof-Schöneberg,15,1.6,20,19.2,12228
Neukölln,11,4.4,20,15.5,4485
Treptow-Köpenick,21,3.6,246,84.2,15061
Marzahn-Hellersdorf,12,6.6,11,17.2,10280
Lichtenberg,16,29,142,93.3,34644
Reinickendorf,40,21.6,31,38.9,20204
