district_name,measures,volume,usage_area,apartments,living_area,estimated_costs
Mitte,1,9,4.7,12,13.1,8354
Friedrichshain-Kreuzberg,–,–,–,–,–,–
Pankow,24,53,26.4,115,111.9,22712
Charlottenburg-Wilmersdorf,6,33,16,82,66.8,13921
Spandau,–,–,–,–,–,–
Steglitz-Zehlendorf,6,46,33,136,72.7,21750
Tempelhof-Schöneberg,6,7,2.4,14,13.1,3449
Neukölln,5,6,1.6,7,9.3,2174
Treptow-Köpenick,14,37,1.6,233,76.9,13247
Marzahn-Hellersdorf,8,7,0.8,10,15.5,3329
Lichtenberg,10,45,10.1,104,86.3,27109
Reinickendorf,18,15,5.9,25,27.7,8126
