district_name,measures,usage_area,apartments,living_area,estimated_costs
Mitte,6,3.8,9,5.5,49320
Friedrichshain-Kreuzberg,8,"– 4,3",13,11.8,3717
Pankow,27,0.8,165,41.5,11357
Charlottenburg-Wilmersdorf,12,"– 19,7",20,2.9,21278
Spandau,5,"– 0,7",6,6.1,1246
Steglitz-Zehlendorf,8,"– 0,5",6,8.5,5141
Tempelhof-Schöneberg,8,"– 2,5",6,6.1,8371
Neukölln,6,2.8,13,6.2,2311
Treptow-Köpenick,7,2,13,7.3,1814
Marzahn-Hellersdorf,3,1.5,1,1.7,6033
Lichtenberg,4,"– 4,9",38,7.0,1014
Reinickendorf,21,3.2,6,11.2,7735
