district_name,measures,volume,usage_area,apartments,living_area,estimated_costs
Mitte,1,1,1,1,1.5,380
Friedrichshain-Kreuzberg,–,–,–,–,–,–
Pankow,7,4,1.9,9,8.9,2167
Charlottenburg-Wilmersdorf,6,31,11.6,137,65.9,18101
Spandau,4,11,3.5,51,22.7,6458
Steglitz-Zehlendorf,3,40,1,84,74.2,19481
Tempelhof-Schöneberg,3,10,15.1,52,17.4,4551
Neukölln,–,–,–,–,–,–
Treptow-Köpenick,13,28,13.5,98,57.3,13290
Marzahn-Hellersdorf,6,9,5.8,16,14.6,3619
Lichtenberg,3,23,–,44,35.4,14755
Reinickendorf,6,12,4.5,32,24.9,9255
