id,measures,volume,usage_area,apartments,living_area
01,–,–,–,–,–
02,–,–,–,–,–
03,1,84,139.4,–,–
04,1,1,3.1,–,–
05,2,46,58.5,–,–
06,1,1,2,–,–
07,1,1,1.3,–,–
08,2,230,546.8,–,–
09,4,38,43,–,–
10,1,21,34.8,–,–
11,–,–,–,–,–
,4,55,93.2,–,–
