id,measures,usage_area,apartments,living_area,estimated_costs
01,3,22.9,2,2.9,42479
02,4,"– 0,8",5,4.6,1216
03,1,4.3,–,–,700
04,8,0.3,5,6.6,7076
05,4,"– 1,2",3,1.5,1033
06,9,"– 1,5",2,4.2,2484
07,13,"– 0,6",17,16.4,5316
08,–,–,–,–,–
09,20,"– 1,9",6,6.2,6658
10,2,"– 2,9",4,3,430
11,2,"– 152,3",400,105.8,520
12,4,0.5,2,2.5,878
