id,measures,volume,usage_area,apartments,living_area
01,1,16,31.5,–,–
02,–,–,–,–,–
03,–,–,–,–,–
04,2,21,37.9,–,–
05,4,18,22.1,–,–
06,–,–,–,–,–
07,2,171,336,–,–
08,–,–,–,–,–
09,3,10,12.1,–,–
10,4,18,32.7,–,–
11,–,–,–,–,–
12,1,2,4.9,2,0.6
