id,measures,usage_area,apartments,living_area,estimated_costs
01,6,4.7,7,2.5,6156
02,2,0.2,6,3.6,1618
03,10,"– 1,4",6,2.6,3814
04,4,4.3,–,1.1,1288
05,5,"– 6,1",8,8.3,1161
06,5,"– 2,1",5,5.6,1510
07,7,"– 1,6",3,5.4,2030
08,–,–,–,–,–
09,10,"– 7,7",23,20.1,5220
10,2,2.1,–,0.3,142
11,3,–,1,0.6,292
,3,0.6,–,1.5,761
