district_name,measures,volume,usage_area,apartments,living_area,estimated_costs
Mitte,–,–,–,–,–,–
Friedrichshain-Kreuzberg,5,154,40.9,366,278.7,81947
Pankow,32,73,11.2,130,152.2,16633
Charlottenburg-Wilmersdorf,2,33,10.5,70,49.7,14630
Spandau,11,28,10.4,56,57.3,12225
Steglitz-Zehlendorf,6,7,4.1,15,12,3056
Tempelhof-Schöneberg,9,27,17.6,55,47.4,11790
Neukölln,7,11,6.2,25,22.7,5254
Treptow-Köpenick,34,110,59.8,270,217.7,45758
Marzahn-Hellersdorf,18,80,26.8,218,166.6,28048
Lichtenberg,15,88,30,195,163.9,34879
Reinickendorf,11,10,4.5,16,18.1,4863
