district_name,measures,usage_area,apartments,living_area,estimated_costs
Mitte,10,168.7,77,27.1,93475
Friedrichshain-Kreuzberg,13,190.2,377,294.6,151795
Pankow,48,101.5,133,157.4,41489
Charlottenburg-Wilmersdorf,28,22.8,381,164.0,48034
Spandau,17,82.7,71,67.5,15092
Steglitz-Zehlendorf,19,49.2,24,32.9,14102
Tempelhof-Schöneberg,19,452.4,100,101.1,129721
Neukölln,9,6.3,25,23.5,5417
Treptow-Köpenick,51,120.5,276,227.1,50129
Marzahn-Hellersdorf,22,28.6,219,167.1,28925
Lichtenberg,25,227.0,210,173.1,106897
Reinickendorf,23,68.1,15,21.6,15596
