district_name,measures,volume,usage_area,apartments,living_area
Mitte,3,145,174,36,9.3
Friedrichshain-Kreuzberg,2,4,9.9,–,–
Pankow,9,86,84,–,–
Charlottenburg-Wilmersdorf,–,–,–,–,–
Spandau,1,3,7.5,–,–
Steglitz-Zehlendorf,3,29,47.5,6,12
Tempelhof-Schöneberg,2,203,455.3,18,17.6
Neukölln,–,–,–,–,–
Treptow-Köpenick,2,8,20.9,–,–
Marzahn-Hellersdorf,1,1,1.1,–,–
Lichtenberg,3,144,177.4,1,1.3
Reinickendorf,2,30,63.1,–,–
