id,measures,usage_area,apartments,living_area,estimated_costs
01,7,11.5,26,28.1,13557
02,7,-4.4,20,15.6,10378
03,9,7.1,8,10.8,11122
04,10,5.7,12,18.5,28345
05,1,–,–,0.1,6
06,16,-5.3,1,19.9,7218
07,10,-2.6,8,10.5,4041
08,7,0.1,7,7.3,1586
09,10,3.2,8,4.7,16932
10,2,–,–,0.5,148
11,4,-5,6,5.1,945
12,12,46.9,8,9.4,11769
