id,measures,volume,usage_area,apartments,living_area
01,4,93,132.8,–,–
02,–,–,–,–,–
03,3,4,7,1,0.4
04,3,31,66.8,–,–
05,2,28,42.8,–,–
06,–,–,–,–,–
07,–,–,–,–,–
08,–,–,–,–,–
09,7,188,605.7,38,28.1
10,5,44,52.9,–,–
11,1,88,163.5,–,–
12,–,–,–,–,–
