id,measures,usage_area,apartments,living_area,estimated_costs
01,4,0.2,13,1.9,2896
02,6,11.8,3,4.5,36500
03,12,"– 26,5",7,8.1,5010
04,7,"– 1,7",20,14.5,3310
05,4,"– 0,9",21,1.7,1897
06,4,"– 1,8",3,5.1,1681
07,3,"– 2,5",3,4,455
08,1,4.2,– 2,"– 2,1",737
09,7,1,–,1.5,12882
10,4,7.8,–,0.4,3585
11,4,10.6,5,4.4,2734
,9,"– 0,4",4,4,1342
