id,measures,volume,usage_area,apartments,living_area,estimated_costs
01,1,1,1,1,1.5,380
02,–,–,–,–,–,–
03,7,4,1.9,9,8.9,2167
04,6,31,11.6,137,65.9,18101
05,4,11,3.5,51,22.7,6458
06,3,40,1,84,74.2,19481
07,3,10,15.1,52,17.4,4551
08,–,–,–,–,–,–
09,13,28,13.5,98,57.3,13290
10,6,9,5.8,16,14.6,3619
11,3,23,–,44,35.4,14755
12,6,12,4.5,32,24.9,9255
