id,measures,volume,usage_area,apartments,living_area,estimated_costs
01,–,–,–,–,–,–
02,–,–,–,–,–,–
03,3,2,0.6,4,5.1,1390
04,–,–,–,–,–,–
05,2,2,1,2,3.1,757
06,6,8,4.5,7,15.2,4704
07,2,1,–,2,2.3,706
08,–,–,–,–,–,–
09,12,9,1.9,12,18.1,5650
10,6,3,0.5,6,7.2,1729
11,1,1,–,1,1.5,585
12,9,9,5.6,9,15,4006
