id,measures,volume,usage_area,apartments,living_area
01,–,–,–,–,–
02,1,152,348.2,–,–
03,1,11,15.1,–,–
04,1,10,19.1,–,–
05,–,–,–,–,–
06,1,12,31.8,–,–
07,2,71,58.3,–,–
08,2,25,49.6,30,21.3
09,3,7,19.7,–,–
10,1,11,19,–,–
11,–,–,–,–,–
12,1,5,8.5,2,2
