id,measures,usage_area,apartments,living_area,estimated_costs
01,18,101.7,94,50.8,118070
02,20,24.7,76,66.8,37388
03,26,20.8,89,73.7,28777
04,18,31.4,62,53.3,35006
05,15,29.5,35,32.5,8892
06,7,2,7,18.6,11660
07,7,342.4,8,8.1,182988
08,21,138.7,107,50.5,61844
09,4,160,4,3.2,201154
10,22,43.5,187,114,39084
11,14,111.4,198,135.7,81917
12,54,14,21,28.8,17797
