district_name,measures,volume,usage_area,apartments,living_area
Mitte,5,46,98,–,–
Friedrichshain-Kreuzberg,1,52,105,–,–
Pankow,2,9,20.1,–,–
Charlottenburg-Wilmersdorf,1,28,46.5,–,–
Spandau,–,–,–,–,–
Steglitz-Zehlendorf,–,–,–,–,–
Tempelhof-Schöneberg,1,1,1,–,–
Neukölln,1,3,2.9,–,–
Treptow-Köpenick,2,59,130.7,–,–
Marzahn-Hellersdorf,1,2,2.7,–,–
Lichtenberg,1,0,1,–,–
Reinickendorf,2,6,13.5,–,–
