district_id,buildings,usage_area,apartments,apartments_usage_area,estimated_costs
01,4,-2.7,26,14.7,11629.0
,6,-3.8,6,9.0,3207.0
03,12,2.6,13,13.1,6297.0
,11,6.5,15,22.9,5527.0
05,3,40.7,– 1,1.3,26922.0
,9,-29.7,26,34.6,11131.0
,6,-0.8,4,5.6,3624.0
08,2,0.7,1,1.9,663.0
,7,-1.8,1,5.0,1596.0
,2,1.7,0,-1.5,63.0
11,2,-3.6,3,2.3,930.0
12,5,1.8,1,1.7,2147.0
