id,measures,volume,usage_area,apartments,living_area
01,–,–,–,–,–
02,–,–,–,–,–
03,3,31,44.7,–,–
04,1,0,0.8,–,–
05,–,–,–,–,–
06,2,26,44.7,2,9.3
07,2,132,232.8,–,–
08,1,1,3,–,–
09,–,–,–,–,–
10,1,12,17.9,–,–
11,–,–,–,–,–
12,–,–,–,–,–
