id,measures,volume,usage_area,apartments,living_area
01,2,308,475.7,1,2.5
02,–,–,–,–,–
03,3,15,37.3,1,0.4
04,1,16,42,–,–
05,2,5,11.2,–,–
06,2,33,93.7,–,–
07,1,2,3.9,–,–
08,2,1,3,–,–
09,1,76,192.8,–,–
10,1,2,2.4,–,–
11,2,5,7.2,–,–
,–,–,–,–,–
