district_name,measures,usage_area,apartments,living_area,estimated_costs
Mitte,9,-9.7,13,20.6,4964
Friedrichshain-Kreuzberg,10,-4.0,-12,14.6,11036
Pankow,6,-1.7,6,7.6,1797
Charlottenburg-Wilmersdorf,16,7.7,20,26.8,10588
Spandau,12,-3.7,3,7.4,2204
Steglitz-Zehlendorf,10,6.2,6,7.7,11412
Tempelhof-Schöneberg,10,10.2,3,3.9,2892
Neukölln,7,3.3,57,44.5,11473
Treptow-Köpenick,9,3.4,–,1.0,5977
Marzahn-Hellersdorf,14,0.6,3,7.1,2434
Lichtenberg,5,4.2,28,10.9,3685
Reinickendorf,22,4.4,16,20.6,11380
