district_name,measures,usage_area,apartments,living_area,estimated_costs
Mitte,14,24.0,79,55.6,21150
Friedrichshain-Kreuzberg,13,98.5,-2,28.2,55786
Pankow,30,40.2,142,128.4,27761
Charlottenburg-Wilmersdorf,23,41.8,168,107.2,38403
Spandau,17,0.6,10,15.9,4146
Steglitz-Zehlendorf,15,12.3,15,26.6,16127
Tempelhof-Schöneberg,13,11.7,8,11.9,4286
Neukölln,15,9.6,87,73.7,17474
Treptow-Köpenick,28,67.6,516,142.4,48150
Marzahn-Hellersdorf,67,120.9,209,190.0,63031
Lichtenberg,19,81.6,377,256.0,64995
Reinickendorf,47,34.2,46,62.4,26881
