district_name,measures,volume,usage_area,apartments,living_area,estimated_costs
Mitte,3,19,10.1,66,35.0,9123
Friedrichshain-Kreuzberg,1,8,1.4,10,13.6,3427
Pankow,21,60,17.4,136,120.8,21751
Charlottenburg-Wilmersdorf,6,43,11.2,148,80.4,23055
Spandau,4,3,0.7,7,8.5,1728
Steglitz-Zehlendorf,5,12,6.1,9,18.9,4715
Tempelhof-Schöneberg,3,4,1.6,5,7.9,1394
Neukölln,7,14,2.0,30,29.2,5968
Treptow-Köpenick,15,75,9.8,516,141.4,28595
Marzahn-Hellersdorf,50,104,74.6,206,182.8,48613
Lichtenberg,13,152,73.5,349,245.1,61043
Reinickendorf,24,22,13.2,30,41.9,11481
