district_name,measures,volume,usage_area,apartments,living_area
Mitte,1,160,338.4,–,–
Friedrichshain-Kreuzberg,–,–,–,–,–
Pankow,1,3,7,–,–
Charlottenburg-Wilmersdorf,1,10,10.9,–,–
Spandau,2,46,89.9,–,–
Steglitz-Zehlendorf,1,4,8.7,–,–
Tempelhof-Schöneberg,2,48,91.4,–,–
Neukölln,5,29,52.1,–,–
Treptow-Köpenick,1,9,17.1,–,–
Marzahn-Hellersdorf,1,64,100.5,–,–
Lichtenberg,3,80,126.1,–,–
Reinickendorf,6,126,213.9,–,–
