district_name,measures,volume,usage_area,apartments,living_area,estimated_costs
Mitte,1,12,9.3,48,30.6,10711
Friedrichshain-Kreuzberg,–,–,–,–,–,–
Pankow,14,24,6,83,52.8,15999
Charlottenburg-Wilmersdorf,4,14,5,9,19.2,4984
Spandau,18,166,27.4,468,347.9,71582
Steglitz-Zehlendorf,2,4,2.7,6,7.4,1792
Tempelhof-Schöneberg,1,1,0.1,1,1.8,405
Neukölln,50,186,61.9,520,359.4,96153
Treptow-Köpenick,10,21,5.6,55,42.9,11447
Marzahn-Hellersdorf,7,4,1.3,8,9.8,2501
Lichtenberg,7,70,26.9,205,146.4,40134
Reinickendorf,16,45,8.5,152,119,53494
