id,measures,usage_area,apartments,living_area,estimated_costs
01,14,"– 12,8",76,51.1,30323
02,3,4,– 1,6.8,4183
03,13,9.6,13,9.6,4438
04,18,"– 19,5",25,34.3,6687
05,7,0.5,11,16.5,4230
06,5,2.7,1,0.2,1264
07,7,7.9,15,10.5,8735
08,–,–,–,–,–
09,12,"– 1,1",– 2,2.4,1970
10,10,"– 1,4",4,4.9,1319
11,4,1.5,5,4.9,1522
12,7,"– 5,5",–,2.8,2614
