district_name,measures,usage_area,apartments,living_area,estimated_costs
Mitte,15,112.4,151,55.3,49855
Friedrichshain-Kreuzberg,9,205.4,333,205.1,44170
Pankow,26,110.6,124,81.1,43672
Charlottenburg-Wilmersdorf,14,16.2,56,51.9,22834
Spandau,17,12.6,28,21.7,8330
Steglitz-Zehlendorf,10,14.1,19,19.4,5004
Tempelhof-Schöneberg,10,21.6,12,14.3,8271
Neukölln,9,-4.2,24,20.6,5785
Treptow-Köpenick,51,64.7,58,59.9,25523
Marzahn-Hellersdorf,32,55.2,297,217.4,39724
Lichtenberg,13,12.9,61,40.0,11899
Reinickendorf,18,15.7,47,48.3,12961
