district_name,measures,volume,usage_area,apartments,living_area,estimated_costs
Mitte,5,31,14.5,128,67.8,28811
Friedrichshain-Kreuzberg,–,–,–,–,–,–
Pankow,9,22,14.4,79,39.2,12301
Charlottenburg-Wilmersdorf,3,28,14.8,43,46.6,34519
Spandau,10,48,4,178,114.8,24333
Steglitz-Zehlendorf,5,12,8.5,10,21.4,7213
Tempelhof-Schöneberg,5,4,4.1,5,6.3,2767
Neukölln,–,–,–,–,–,–
Treptow-Köpenick,9,9,0.9,20,17.9,5479
Marzahn-Hellersdorf,17,23,5.6,57,41.9,6647
Lichtenberg,1,1,0.3,1,1.3,426
Reinickendorf,6,6,7.6,12,11.5,4172
