district_name,measures,volume,usage_area,apartments,living_area
Mitte,–,–,–,–,–
Friedrichshain-Kreuzberg,–,–,–,–,–
Pankow,2,11,20.2,1,1.4
Charlottenburg-Wilmersdorf,3,277,430.2,–,–
Spandau,6,50,82.9,–,–
Steglitz-Zehlendorf,–,–,–,–,–
Tempelhof-Schöneberg,1,16,16.4,–,–
Neukölln,–,–,–,–,–
Treptow-Köpenick,–,–,–,–,–
Marzahn-Hellersdorf,1,2,2.8,1,1.1
Lichtenberg,1,61,172.4,–,–
Reinickendorf,1,6,13.3,–,–
