district_name,measures,usage_area,apartments,living_area,estimated_costs
Mitte,9,12.5,137,74.7,35051
Friedrichshain-Kreuzberg,6,33.9,12,10.2,91128
Pankow,23,43.7,71,50.8,25889
Charlottenburg-Wilmersdorf,13,455.0,61,49.8,219797
Spandau,29,82.2,193,134.0,62610
Steglitz-Zehlendorf,15,9.0,7,26.2,11762
Tempelhof-Schöneberg,18,25.7,22,17.0,14477
Neukölln,1,0.8,6,2.8,745
Treptow-Köpenick,18,3.3,21,21.2,8744
Marzahn-Hellersdorf,29,21.9,60,46.3,17205
Lichtenberg,6,174.1,11,6.5,15244
Reinickendorf,17,11.6,19,19.8,14024
