district_name,measures,volume,usage_area,apartments,living_area,estimated_costs
Mitte,–,–,–,–,–,–
Friedrichshain-Kreuzberg,–,–,–,–,–,–
Pankow,6,5,2.2,7,8.3,2351
Charlottenburg-Wilmersdorf,1,1,0.5,1,1.2,534
Spandau,1,1,0.8,1,1.6,300
Steglitz-Zehlendorf,4,8,6,5,14.2,4819
Tempelhof-Schöneberg,5,4,4.1,5,6.3,2767
Neukölln,–,–,–,–,–,–
Treptow-Köpenick,7,4,0.5,9,8.7,2753
Marzahn-Hellersdorf,13,8,3.8,13,14.8,3031
Lichtenberg,1,1,0.3,1,1.3,426
Reinickendorf,5,5,6.6,8,9.2,3024
