district_name,measures,volume,usage_area,apartments,living_area,estimated_costs
Mitte,11,146,23.6,1100,285.5,91565
Friedrichshain-Kreuzberg,–,–,–,–,–,–
Pankow,18,46,17.3,117,96.9,28598
Charlottenburg-Wilmersdorf,7,48,25.2,80,76.4,31102
Spandau,8,22,5.3,97,39.7,11695
Steglitz-Zehlendorf,6,8,3.1,8,14.1,3903
Tempelhof-Schöneberg,7,20,24.7,56,45.1,6232
Neukölln,34,24,8.8,36,51.9,11318
Treptow-Köpenick,14,20,5,47,42.5,7961
Marzahn-Hellersdorf,21,14,4.5,31,28.5,6502
Lichtenberg,6,17,4.3,35,32.6,5386
Reinickendorf,6,9,3.8,22,21.7,4075
