district_name,measures,volume,usage_area,apartments,living_area
Mitte,3,141,244.9,6,5.2
Friedrichshain-Kreuzberg,–,–,–,–,–
Pankow,–,–,–,–,–
Charlottenburg-Wilmersdorf,1,9,13.4,–,–
Spandau,1,7,9.5,–,–
Steglitz-Zehlendorf,–,–,–,–,–
Tempelhof-Schöneberg,4,43,67,–,–
Neukölln,–,–,–,–,–
Treptow-Köpenick,10,171,295.3,–,–
Marzahn-Hellersdorf,1,2,5,–,–
Lichtenberg,–,–,–,–,–
Reinickendorf,–,–,–,–,–
